Timestamp;w_time;w_yaw
554091;7567;4.134869E+003
555088;7568;4.134856E+003
556089;7569;4.134796E+003
557085;7570;4.134865E+003
558086;7571;4.134774E+003
559092;7572;4.134834E+003
560086;7573;4.134901E+003
561092;7574;4.134900E+003
562104;7575;4.134922E+003
563087;7576;4.134954E+003
564092;7577;4.134894E+003
565091;7578;4.134948E+003
566086;7579;4.134893E+003
567086;7580;4.134879E+003
568091;7581;4.134813E+003
569091;7582;4.134795E+003
570090;7583;4.134792E+003
571089;7584;4.134785E+003
572104;7585;4.134776E+003
573091;7586;4.134729E+003
574092;7587;4.134702E+003
575088;7588;4.134678E+003
576087;7589;4.134632E+003
577092;7590;4.134554E+003
578092;7591;4.134551E+003
579088;7592;4.134438E+003
580090;7593;4.134365E+003
581086;7594;4.134322E+003
582086;7595;4.134291E+003
583101;7596;4.134251E+003
584088;7597;4.134246E+003
585088;7598;4.134312E+003
586084;7599;4.134353E+003
587084;7600;4.134357E+003
588089;7601;4.134409E+003
589102;7602;4.134407E+003
590084;7603;4.134378E+003
591091;7604;4.134323E+003
592091;7605;4.134360E+003
593087;7606;4.134284E+003
594107;7607;4.134370E+003
595085;7608;4.134416E+003
596086;7609;4.134434E+003
597091;7610;4.134457E+003
598090;7611;4.134485E+003
599087;7612;4.134423E+003
600090;7613;4.134483E+003
601087;7614;4.134487E+003
602087;7615;4.134467E+003
603084;7616;4.134444E+003
604084;7617;4.134422E+003
605102;7618;4.134366E+003
606090;7619;4.134351E+003
607091;7620;4.134262E+003
608088;7621;4.134310E+003
609088;7622;4.134261E+003
610085;7623;4.134271E+003
611091;7624;4.134281E+003
612092;7625;4.134248E+003
613089;7626;4.134241E+003
614089;7627;4.134196E+003
615086;7628;4.134285E+003
616105;7629;4.134357E+003
617085;7630;4.134398E+003
618085;7631;4.134424E+003
619091;7632;4.134434E+003
620085;7633;4.134433E+003
621091;7634;4.134434E+003
622092;7635;4.134448E+003
623089;7636;4.134444E+003
624089;7637;4.134478E+003
625086;7638;4.134442E+003
626086;7639;4.134386E+003
627129;7640;4.134419E+003
628089;7641;4.134459E+003
629090;7642;4.134370E+003
630089;7643;4.134372E+003
631087;7644;4.134395E+003
632092;7645;4.134333E+003
633092;7646;4.134304E+003
634088;7647;4.134402E+003
635088;7648;4.134305E+003
636093;7649;4.134327E+003
637092;7650;4.134280E+003
638125;7651;4.134281E+003
639085;7652;4.134268E+003
640088;7653;4.134333E+003
641084;7654;4.134332E+003
642093;7655;4.134284E+003
643089;7656;4.134299E+003
644088;7657;4.134302E+003
645084;7658;4.134309E+003
646084;7659;4.134292E+003
647089;7660;4.134330E+003
648089;7661;4.134300E+003
649085;7662;4.134245E+003
650106;7663;4.134191E+003
651084;7664;4.134190E+003
652084;7665;4.134185E+003
653089;7666;4.134173E+003
654089;7667;4.134169E+003
655085;7668;4.134265E+003
656085;7669;4.134170E+003
657090;7670;4.134116E+003
658089;7671;4.134143E+003
659085;7672;4.134143E+003
660088;7673;4.134123E+003
661104;7674;4.134169E+003
662087;7675;4.134196E+003
663092;7676;4.134175E+003
664091;7677;4.134222E+003
665088;7678;4.134270E+003
666088;7679;4.134289E+003
667085;7680;4.134371E+003
668085;7681;4.134462E+003
669091;7682;4.134506E+003
670086;7683;4.134560E+003
671099;7684;4.134608E+003
672087;7685;4.134557E+003
673088;7686;4.134507E+003
674084;7687;4.134533E+003
675085;7688;4.134528E+003
676090;7689;4.134485E+003
677091;7690;4.134477E+003
678088;7691;4.134456E+003
679088;7692;4.134456E+003
680088;7693;4.134450E+003
681088;7694;4.134413E+003
682107;7695;4.134528E+003
683086;7696;4.134586E+003
684087;7697;4.134643E+003
685084;7698;4.134618E+003
686085;7699;4.134595E+003
687090;7700;4.134596E+003
688091;7701;4.134615E+003
689088;7702;4.134598E+003
690091;7703;4.134513E+003
691087;7704;4.134428E+003
692085;7705;4.134384E+003
693101;7706;4.134271E+003
694090;7707;4.134259E+003
695089;7708;4.134293E+003
696085;7709;4.134241E+003
697093;7710;4.134313E+003
698089;7711;4.134217E+003
699088;7712;4.134266E+003
700087;7713;4.134237E+003
701087;7714;4.134197E+003
702092;7715;4.134166E+003
703092;7716;4.134206E+003
704102;7717;4.134230E+003
705089;7718;4.134287E+003
706089;7719;4.134270E+003
707085;7720;4.134309E+003
708085;7721;4.134298E+003
709090;7722;4.134326E+003
710093;7723;4.134243E+003
711089;7724;4.134204E+003
712088;7725;4.134170E+003
713084;7726;4.134133E+003
714093;7727;4.134163E+003
715099;7728;4.134110E+003
716087;7729;4.134152E+003
717087;7730;4.134203E+003
718092;7731;4.134192E+003
719092;7732;4.134166E+003
720091;7733;4.134149E+003
721091;7734;4.134046E+003
722087;7735;4.134004E+003
723087;7736;4.134009E+003
724092;7737;4.133928E+003
725091;7738;4.133915E+003
726100;7739;4.133888E+003
727087;7740;4.133908E+003
728087;7741;4.133991E+003
729092;7742;4.134021E+003
730086;7743;4.134034E+003
731092;7744;4.134066E+003
732092;7745;4.134106E+003
733089;7746;4.134164E+003
734090;7747;4.134199E+003
735086;7748;4.134210E+003
736087;7749;4.134205E+003
737107;7750;4.134166E+003
738086;7751;4.134200E+003
739087;7752;4.134234E+003
740086;7753;4.134169E+003
741087;7754;4.134162E+003
742084;7755;4.134196E+003
743084;7756;4.134230E+003
744090;7757;4.134294E+003
745090;7758;4.134265E+003
746086;7759;4.134282E+003
747087;7760;4.134313E+003
748105;7761;4.134288E+003
749087;7762;4.134253E+003
750091;7763;4.134230E+003
751088;7764;4.134245E+003
752088;7765;4.134345E+003
753085;7766;4.134416E+003
754085;7767;4.134446E+003
755091;7768;4.134420E+003
756091;7769;4.134437E+003
757088;7770;4.134388E+003
758089;7771;4.134392E+003
759106;7772;4.134435E+003
760091;7773;4.134477E+003
761089;7774;4.134525E+003
762084;7775;4.134558E+003
763093;7776;4.134608E+003
764089;7777;4.134623E+003
765088;7778;4.134667E+003
766085;7779;4.134689E+003
767084;7780;4.134693E+003
768089;7781;4.134594E+003
769089;7782;4.134508E+003
770106;7783;4.134425E+003
771085;7784;4.134411E+003
772085;7785;4.134423E+003
773090;7786;4.134379E+003
774089;7787;4.134424E+003
775085;7788;4.134382E+003
776085;7789;4.134478E+003
777090;7790;4.134353E+003
778089;7791;4.134373E+003
779085;7792;4.134423E+003
780190;7793;4.134431E+003
781090;7794;4.134410E+003
782090;7795;4.134440E+003
783086;7796;4.134465E+003
784086;7797;4.134433E+003
785091;7798;4.134480E+003
786090;7799;4.134547E+003
787086;7800;4.134485E+003
788086;7801;4.134516E+003
789091;7802;4.134513E+003
790085;7803;4.134497E+003
791126;7804;4.134530E+003
792088;7805;4.134506E+003
793090;7806;4.134547E+003
794086;7807;4.134540E+003
795086;7808;4.134616E+003
796092;7809;4.134597E+003
797092;7810;4.134577E+003
798089;7811;4.134542E+003
799090;7812;4.134586E+003
800089;7813;4.134598E+003
801090;7814;4.134620E+003
802125;7815;4.134542E+003
803089;7816;4.134463E+003
804089;7817;4.134438E+003
805086;7818;4.134401E+003
806087;7819;4.134361E+003
807093;7820;4.134398E+003
808084;7821;4.134413E+003
809089;7822;4.134510E+003
810092;7823;4.134520E+003
811089;7824;4.134469E+003
812089;7825;4.134473E+003
813123;7826;4.134467E+003
814086;7827;4.134426E+003
815087;7828;4.134537E+003
816091;7829;4.134520E+003
817087;7830;4.134535E+003
818088;7831;4.134563E+003
819084;7832;4.134542E+003
820087;7833;4.134490E+003
821084;7834;4.134502E+003
822085;7835;4.134429E+003
823091;7836;4.134381E+003
824179;7837;4.134248E+003
825088;7838;4.134256E+003
826088;7839;4.134292E+003
827093;7840;4.134284E+003
828092;7841;4.134213E+003
829088;7842;4.134191E+003
830091;7843;4.134139E+003
831087;7844;4.134126E+003
832086;7845;4.134168E+003
833091;7846;4.134127E+003
834091;7847;4.134063E+003
835117;7848;4.134100E+003
836087;7849;4.134227E+003
837087;7850;4.134234E+003
838092;7851;4.134244E+003
839092;7852;4.134222E+003
840091;7853;4.134320E+003
841091;7854;4.134397E+003
842087;7855;4.134376E+003
843086;7856;4.134353E+003
844091;7857;4.134308E+003
845091;7858;4.134309E+003
846128;7859;4.134277E+003
847089;7860;4.134308E+003
848089;7861;4.134297E+003
849085;7862;4.134342E+003
850088;7863;4.134366E+003
851093;7864;4.134349E+003
852092;7865;4.134338E+003
853088;7866;4.134270E+003
854088;7867;4.134302E+003
855084;7868;4.134233E+003
856093;7869;4.134243E+003
857173;7870;4.134292E+003
858090;7871;4.134321E+003
859090;7872;4.134314E+003
860089;7873;4.134290E+003
861088;7874;4.134329E+003
862086;7875;4.134354E+003
863086;7876;4.134360E+003
864092;7877;4.134306E+003
865092;7878;4.134345E+003
866089;7879;4.134282E+003
867089;7880;4.134251E+003
868112;7881;4.134338E+003
869092;7882;4.134350E+003
870087;7883;4.134365E+003
871093;7884;4.134417E+003
872084;7885;4.134435E+003
873089;7886;4.134385E+003
874090;7887;4.134421E+003
875086;7888;4.134503E+003
